Country,Country code,Category,Share,2024 vs. 2023 Growth,App - full name
オーストラリア,AUS,書籍・参考書,0.01,-0.10,
オーストラリア,AUS,教育,0.01,0.14,
オーストラリア,AUS,エンターテインメント,0.11,0.01,
オーストラリア,AUS,ファイナンス,0.02,0.06,
オーストラリア,AUS,ゲーム,0.40,0.12,
オーストラリア,AUS,生成AI,0.01,2.88,
オーストラリア,AUS,健康・フィットネス,0.01,0.00,
オーストラリア,AUS,ニュース,0.00,-0.12,
オーストラリア,AUS,その他,0.07,0.11,
オーストラリア,AUS,ショッピング,0.03,0.31,
オーストラリア,AUS,ソーシャルメディア,0.28,-0.02,
オーストラリア,AUS,スポーツ,0.01,-0.11,
オーストラリア,AUS,ユーティリティ & 生産性,0.04,0.02,
ブラジル,BRA,書籍・参考書,0.01,-0.01,
ブラジル,BRA,教育,0.01,0.12,
ブラジル,BRA,エンターテインメント,0.15,-0.04,
ブラジル,BRA,ファイナンス,0.04,0.02,
ブラジル,BRA,ゲーム,0.52,0.07,
ブラジル,BRA,生成AI,0.01,4.26,
ブラジル,BRA,健康・フィットネス,0.01,0.18,
ブラジル,BRA,ニュース,0.00,0.04,
ブラジル,BRA,その他,0.05,0.09,
ブラジル,BRA,ショッピング,0.03,0.08,
ブラジル,BRA,ソーシャルメディア,0.12,-0.05,
ブラジル,BRA,スポーツ,0.00,-0.02,
ブラジル,BRA,ユーティリティ & 生産性,0.05,-0.01,
カナダ,CAN,書籍・参考書,0.02,-0.04,
カナダ,CAN,教育,0.01,0.22,
カナダ,CAN,エンターテインメント,0.10,0.04,
カナダ,CAN,ファイナンス,0.02,0.11,
カナダ,CAN,ゲーム,0.42,0.10,
カナダ,CAN,生成AI,0.02,3.60,
カナダ,CAN,健康・フィットネス,0.01,0.13,
カナダ,CAN,ニュース,0.00,-0.10,
カナダ,CAN,その他,0.07,0.07,
カナダ,CAN,ショッピング,0.02,-0.04,
カナダ,CAN,ソーシャルメディア,0.28,-0.02,
カナダ,CAN,スポーツ,0.01,0.12,
カナダ,CAN,ユーティリティ & 生産性,0.04,-0.02,
ドイツ,DEU,書籍・参考書,0.01,-0.08,
ドイツ,DEU,教育,0.01,0.17,
ドイツ,DEU,エンターテインメント,0.09,0.04,
ドイツ,DEU,ファイナンス,0.01,0.25,
ドイツ,DEU,ゲーム,0.47,0.07,
ドイツ,DEU,生成AI,0.02,3.71,
ドイツ,DEU,健康・フィットネス,0.01,0.12,
ドイツ,DEU,ニュース,0.01,-0.06,
ドイツ,DEU,その他,0.05,0.09,
ドイツ,DEU,ショッピング,0.04,0.15,
ドイツ,DEU,ソーシャルメディア,0.20,0.03,
ドイツ,DEU,スポーツ,0.01,-0.05,
ドイツ,DEU,ユーティリティ & 生産性,0.06,0.11,
フランス,FRA,書籍・参考書,0.02,-0.07,
フランス,FRA,教育,0.02,0.15,
フランス,FRA,エンターテインメント,0.10,0.04,
フランス,FRA,ファイナンス,0.01,0.13,
フランス,FRA,ゲーム,0.42,0.08,
フランス,FRA,生成AI,0.01,5.13,
フランス,FRA,健康・フィットネス,0.01,0.12,
フランス,FRA,ニュース,0.01,-0.04,
フランス,FRA,その他,0.04,0.08,
フランス,FRA,ショッピング,0.03,0.09,
フランス,FRA,ソーシャルメディア,0.26,-0.04,
フランス,FRA,スポーツ,0.01,-0.19,
フランス,FRA,ユーティリティ & 生産性,0.05,-0.03,
イギリス,GBR,書籍・参考書,0.01,-0.07,
イギリス,GBR,教育,0.01,0.08,
イギリス,GBR,エンターテインメント,0.09,0.06,
イギリス,GBR,ファイナンス,0.02,0.04,
イギリス,GBR,ゲーム,0.39,0.07,
イギリス,GBR,生成AI,0.02,3.40,
イギリス,GBR,健康・フィットネス,0.01,0.04,
イギリス,GBR,ニュース,0.01,-0.10,
イギリス,GBR,その他,0.06,0.04,
イギリス,GBR,ショッピング,0.03,0.26,
イギリス,GBR,ソーシャルメディア,0.30,-0.06,
イギリス,GBR,スポーツ,0.01,-0.09,
イギリス,GBR,ユーティリティ & 生産性,0.05,0.08,
インドネシア,IDN,書籍・参考書,0.01,-0.18,
インドネシア,IDN,教育,0.00,0.19,
インドネシア,IDN,エンターテインメント,0.08,0.01,
インドネシア,IDN,ファイナンス,0.01,0.39,
インドネシア,IDN,ゲーム,0.62,0.04,
インドネシア,IDN,生成AI,0.01,3.32,
インドネシア,IDN,健康・フィットネス,0.00,0.05,
インドネシア,IDN,ニュース,0.00,-0.14,
インドネシア,IDN,その他,0.05,-0.07,
インドネシア,IDN,ショッピング,0.10,0.08,
インドネシア,IDN,ソーシャルメディア,0.07,-0.06,
インドネシア,IDN,スポーツ,0.00,0.09,
インドネシア,IDN,ユーティリティ & 生産性,0.03,0.17,
インド,IND,書籍・参考書,0.01,0.10,
インド,IND,教育,0.02,0.29,
インド,IND,エンターテインメント,0.17,-0.14,
インド,IND,ファイナンス,0.04,0.26,
インド,IND,ゲーム,0.34,0.11,
インド,IND,生成AI,0.00,6.69,
インド,IND,健康・フィットネス,0.00,0.17,
インド,IND,ニュース,0.02,0.24,
インド,IND,その他,0.07,0.11,
インド,IND,ショッピング,0.04,0.12,
インド,IND,ソーシャルメディア,0.18,0.17,
インド,IND,スポーツ,0.02,-0.05,
インド,IND,ユーティリティ & 生産性,0.11,0.05,
日本,JPN,書籍・参考書,0.04,-0.11,
日本,JPN,教育,0.00,0.10,
日本,JPN,エンターテインメント,0.04,-0.01,
日本,JPN,ファイナンス,0.01,0.14,
日本,JPN,ゲーム,0.31,0.07,
日本,JPN,生成AI,0.00,2.87,
日本,JPN,健康・フィットネス,0.00,0.07,
日本,JPN,ニュース,0.06,-0.05,
日本,JPN,その他,0.03,0.03,
日本,JPN,ショッピング,0.02,0.07,
日本,JPN,ソーシャルメディア,0.43,-0.04,
日本,JPN,スポーツ,0.01,0.08,
日本,JPN,ユーティリティ & 生産性,0.03,0.02,
韓国,KOR,書籍・参考書,0.03,-0.15,
韓国,KOR,教育,0.02,0.05,
韓国,KOR,エンターテインメント,0.07,-0.05,
韓国,KOR,ファイナンス,0.05,0.20,
韓国,KOR,ゲーム,0.26,-0.02,
韓国,KOR,生成AI,0.00,4.66,
韓国,KOR,健康・フィットネス,0.03,0.00,
韓国,KOR,ニュース,0.00,0.21,
韓国,KOR,その他,0.05,-0.04,
韓国,KOR,ショッピング,0.04,0.05,
韓国,KOR,ソーシャルメディア,0.39,-0.10,
韓国,KOR,スポーツ,0.00,-0.24,
韓国,KOR,ユーティリティ & 生産性,0.05,-0.01,
メキシコ,MEX,書籍・参考書,0.02,-0.13,
メキシコ,MEX,教育,0.01,0.17,
メキシコ,MEX,エンターテインメント,0.11,0.08,
メキシコ,MEX,ファイナンス,0.01,0.21,
メキシコ,MEX,ゲーム,0.64,0.07,
メキシコ,MEX,生成AI,0.01,4.05,
メキシコ,MEX,健康・フィットネス,0.00,0.24,
メキシコ,MEX,ニュース,0.00,1.30,
メキシコ,MEX,その他,0.04,0.17,
メキシコ,MEX,ショッピング,0.02,0.30,
メキシコ,MEX,ソーシャルメディア,0.10,0.05,
メキシコ,MEX,スポーツ,0.00,0.12,
メキシコ,MEX,ユーティリティ & 生産性,0.03,0.03,
アメリカ合衆国,USA,書籍・参考書,0.02,-0.05,
アメリカ合衆国,USA,教育,0.01,0.05,
アメリカ合衆国,USA,エンターテインメント,0.11,-0.02,
アメリカ合衆国,USA,ファイナンス,0.01,0.05,
アメリカ合衆国,USA,ゲーム,0.39,0.04,
アメリカ合衆国,USA,生成AI,0.02,2.44,
アメリカ合衆国,USA,健康・フィットネス,0.01,0.09,
アメリカ合衆国,USA,ニュース,0.01,-0.05,
アメリカ合衆国,USA,その他,0.07,0.00,
アメリカ合衆国,USA,ショッピング,0.03,-0.02,
アメリカ合衆国,USA,ソーシャルメディア,0.27,-0.06,
アメリカ合衆国,USA,スポーツ,0.01,-0.01,
アメリカ合衆国,USA,ユーティリティ & 生産性,0.04,-0.03,