Category,Growth ($B),Country
Entertainment,4.4,All Countries
Photo & Video,1.9,All Countries
Productivity,1.8,All Countries
Social Networking,1.2,All Countries
Music,0.7,All Countries
Lifestyle,0.5,All Countries
Utilities,0.5,All Countries
Education,0.4,All Countries
Health & Fitness,0.4,All Countries
Other,1.9,All Countries
Entertainment,3.4,USA
Photo & Video,1.9,USA
Productivity,1.6,USA
Social Networking,1.2,USA
Music,1.2,USA
Lifestyle,0.5,USA
Utilities,0.5,USA
Education,0.4,USA
Health & Fitness,0.4,USA
Other,1.9,USA