Country,Country code,Category,Value
호주,AUS,엔터테인먼트,-38686616.39
호주,AUS,소셜 미디어,-153236134.9
호주,AUS,게임,182917971.1
호주,AUS,유틸리티 및 생산성,9147065.818
호주,AUS,기타,31804212.9
호주,AUS,쇼핑,31141699.1
호주,AUS,금융,5151541.401
호주,AUS,도서 및 참고자료,-5713350.734
호주,AUS,교육,3601880.786
호주,AUS,뉴스,-3874526.985
호주,AUS,스포츠,-4285420.28
호주,AUS,생성형 AI,45792539.61
호주,AUS,건강 및 피트니스,-318769.9703
브라질,BRA,엔터테인먼트,-299035241
브라질,BRA,소셜 미디어,-318600140.7
브라질,BRA,게임,1761693827
브라질,BRA,유틸리티 및 생산성,-26019781.5
브라질,BRA,기타,329612555.4
브라질,BRA,쇼핑,139237798.9
브라질,BRA,금융,42941773.59
브라질,BRA,도서 및 참고자료,-12858437.1
브라질,BRA,교육,-2608699.075
브라질,BRA,뉴스,-7108048.586
브라질,BRA,스포츠,-3713538.434
브라질,BRA,생성형 AI,452262415
브라질,BRA,건강 및 피트니스,47175832.3
캐나다,CAN,엔터테인먼트,-3811923.127
캐나다,CAN,소셜 미디어,-30290250.4
캐나다,CAN,게임,271494989.8
캐나다,CAN,유틸리티 및 생산성,7811045.298
캐나다,CAN,기타,42037594.02
캐나다,CAN,쇼핑,-4908072.833
캐나다,CAN,금융,11012096.96
캐나다,CAN,도서 및 참고자료,-5055389.911
캐나다,CAN,교육,3648645.865
캐나다,CAN,뉴스,-7179135.229
캐나다,CAN,스포츠,5624724.279
캐나다,CAN,생성형 AI,112178877.7
캐나다,CAN,건강 및 피트니스,7157160.296
독일,DEU,엔터테인먼트,-56488019.49
독일,DEU,소셜 미디어,303349251.4
독일,DEU,게임,448074538.5
독일,DEU,유틸리티 및 생산성,134245851.5
독일,DEU,기타,101128414.8
독일,DEU,쇼핑,60921072.95
독일,DEU,금융,40145975.1
독일,DEU,도서 및 참고자료,-11512113.82
독일,DEU,교육,26179759.71
독일,DEU,뉴스,-13206128.2
독일,DEU,스포츠,-6323028.812
독일,DEU,생성형 AI,233221044.6
독일,DEU,건강 및 피트니스,14290154.66
프랑스,FRA,엔터테인먼트,-202005576.7
프랑스,FRA,소셜 미디어,350926697.5
프랑스,FRA,게임,464404623.8
프랑스,FRA,유틸리티 및 생산성,2218548.504
프랑스,FRA,기타,80578158.5
프랑스,FRA,쇼핑,32823130.36
프랑스,FRA,금융,25238230.58
프랑스,FRA,도서 및 참고자료,-20065266.9
프랑스,FRA,교육,37969433.97
프랑스,FRA,뉴스,-14000030.68
프랑스,FRA,스포츠,-30037655.62
프랑스,FRA,생성형 AI,109510784.1
프랑스,FRA,건강 및 피트니스,18139442.45
영국,GBR,엔터테인먼트,-158190569
대한민국,KOR,엔터테인먼트,-777549657
영국,GBR,게임,358729857.7
영국,GBR,유틸리티 및 생산성,68615012.08
영국,GBR,기타,57500530.32
영국,GBR,쇼핑,80686627.77
미국,USA,엔터테인먼트,-2976252589
영국,GBR,도서 및 참고자료,-7169570.498
영국,GBR,교육,2934560.161
영국,GBR,뉴스,-12954451.13
영국,GBR,스포츠,-14033719.76
영국,GBR,생성형 AI,214636856.7
영국,GBR,건강 및 피트니스,4232696.176
인도네시아,IDN,엔터테인먼트,3280783320
인도네시아,IDN,소셜 미디어,3353111684
인도네시아,IDN,게임,1503209541
인도네시아,IDN,유틸리티 및 생산성,430418756
인도네시아,IDN,기타,-238173501.2
인도네시아,IDN,쇼핑,540657864
인도네시아,IDN,금융,221139219.7
인도네시아,IDN,도서 및 참고자료,-226216259.8
인도네시아,IDN,교육,14345304.57
인도네시아,IDN,뉴스,-4028938.334
인도네시아,IDN,스포츠,2102443.177
인도네시아,IDN,생성형 AI,304496783.6
인도네시아,IDN,건강 및 피트니스,3115934.938
인도,IND,엔터테인먼트,67537661290
인도,IND,소셜 미디어,49554321842
인도,IND,게임,5282413263
인도,IND,유틸리티 및 생산성,1113788350
인도,IND,기타,2651743981
인도,IND,쇼핑,642418157.3
인도,IND,금융,1380812695
인도,IND,도서 및 참고자료,63732557.49
인도,IND,교육,641844849.1
인도,IND,뉴스,428268406.9
인도,IND,스포츠,-133211856
인도,IND,생성형 AI,317593417.8
인도,IND,건강 및 피트니스,55437127.52
일본,JPN,엔터테인먼트,-986857460.4
일본,JPN,소셜 미디어,-186037722.1
일본,JPN,게임,681642164.8
일본,JPN,유틸리티 및 생산성,87785412.83
일본,JPN,기타,39081585.45
일본,JPN,쇼핑,53726251.47
일본,JPN,금융,60384960.46
일본,JPN,도서 및 참고자료,-155897689.5
일본,JPN,교육,6795022.014
일본,JPN,뉴스,-100190911.7
일본,JPN,스포츠,13767731.58
일본,JPN,생성형 AI,38204222.08
일본,JPN,건강 및 피트니스,8223019.553
영국,GBR,금융,12698308.12
대한민국,KOR,금융,155599767.9
대한민국,KOR,게임,-82102875.17
대한민국,KOR,유틸리티 및 생산성,-11393636.01
대한민국,KOR,기타,-40827465.92
대한민국,KOR,쇼핑,40414245.41
미국,USA,금융,55610925.39
대한민국,KOR,도서 및 참고자료,-86580640.26
대한민국,KOR,교육,16111045.05
대한민국,KOR,뉴스,777399.0381
대한민국,KOR,스포츠,-8236893.126
대한민국,KOR,생성형 AI,30548418.07
대한민국,KOR,건강 및 피트니스,2073697.093
멕시코,MEX,엔터테인먼트,435399634.7
멕시코,MEX,소셜 미디어,2315994847
멕시코,MEX,게임,1225588340
멕시코,MEX,유틸리티 및 생산성,45597557.43
멕시코,MEX,기타,230411793.1
멕시코,MEX,쇼핑,159743696.8
멕시코,MEX,금융,71177033.25
멕시코,MEX,도서 및 참고자료,-69951879.35
멕시코,MEX,교육,12055069.8
멕시코,MEX,뉴스,5787794.877
멕시코,MEX,스포츠,5950683.896
멕시코,MEX,생성형 AI,299491146.6
멕시코,MEX,건강 및 피트니스,17061915.26
필리핀,PHL,엔터테인먼트,3902068490
필리핀,PHL,소셜 미디어,-460890386.1
필리핀,PHL,게임,2438159057
필리핀,PHL,유틸리티 및 생산성,276915364.3
필리핀,PHL,기타,177750430.3
필리핀,PHL,쇼핑,140521103.1
필리핀,PHL,금융,108303259.3
필리핀,PHL,도서 및 참고자료,-39657682.33
필리핀,PHL,교육,-9061226.522
필리핀,PHL,뉴스,-3039811.374
필리핀,PHL,스포츠,228493.8214
필리핀,PHL,생성형 AI,305351663.6
필리핀,PHL,건강 및 피트니스,9582627.006
태국,THA,엔터테인먼트,-252904470.8
태국,THA,소셜 미디어,171363075.6
태국,THA,게임,-101333083.3
태국,THA,유틸리티 및 생산성,183792655.6
태국,THA,기타,45433699.53
태국,THA,쇼핑,104047410.3
태국,THA,금융,22674964.77
태국,THA,도서 및 참고자료,-37479407.02
태국,THA,교육,-2992422.394
태국,THA,뉴스,-2674082.738
태국,THA,스포츠,-4857146.275
태국,THA,생성형 AI,31043414.99
태국,THA,건강 및 피트니스,-1225558.337
영국,GBR,소셜 미디어,-353868704.4
대한민국,KOR,소셜 미디어,-590354881.3
미국,USA,게임,1203663355
미국,USA,유틸리티 및 생산성,-155943312.9
미국,USA,기타,120614753.7
미국,USA,쇼핑,-142631940.6
미국,USA,소셜 미디어,-2397753747
미국,USA,도서 및 참고자료,-93224166.18
미국,USA,교육,-21464635.52
미국,USA,뉴스,-78246856.27
미국,USA,스포츠,-10114652.31
미국,USA,생성형 AI,1280289928
미국,USA,건강 및 피트니스,56317953.46
베트남,VNM,엔터테인먼트,2322436334
베트남,VNM,소셜 미디어,-1345338887
베트남,VNM,게임,637938272.4
베트남,VNM,유틸리티 및 생산성,45603778.26
베트남,VNM,기타,55833695.44
베트남,VNM,쇼핑,265286837
베트남,VNM,금융,58884300.32
베트남,VNM,도서 및 참고자료,-61866096.6
베트남,VNM,교육,-32163325.61
베트남,VNM,뉴스,-13837810.77
베트남,VNM,스포츠,2214689.199
베트남,VNM,생성형 AI,55169550.35
베트남,VNM,건강 및 피트니스,-7985370.121